,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
60,40.0,37.0,38.0,,35.0,35.0,36.0,38.0,36.0,57.0,51.0,45.0,35.0,51.0,37.0,38.0,76.0,36.0,16.0,53.0,45.0,40.0,39.0,40.0,36.0,28.0,39.0,21.0,45.0,30.0,39.0,40.0,62.0,40.0,31.0,34.0,32.0,37.0,50.0,33.0,37.0,51.0,42.0,46.0,50.0,63.0,22.0,39.0
61,,47.0,60.0,20.0,49.0,57.0,43.0,34.0,39.0,55.0,37.0,52.0,37.0,29.0,43.0,45.0,35.0,40.0,49.0,45.0,41.0,,46.0,64.0,33.0,37.0,51.0,35.0,39.0,,47.0,56.0,69.0,40.0,40.0,54.0,39.0,44.0,49.0,49.0,40.0,44.0,43.0,48.0,62.0,74.0,55.0,49.0
62,37.0,46.0,43.0,22.0,38.0,58.0,36.0,32.0,32.0,58.0,31.0,22.0,38.0,43.0,42.0,49.0,49.0,39.0,37.0,39.0,45.0,43.0,38.0,48.0,46.0,36.0,40.0,53.0,46.0,40.0,44.0,42.0,68.0,37.0,43.0,28.0,39.0,35.0,50.0,42.0,49.0,45.0,47.0,51.0,31.0,65.0,28.0,41.0
63,47.0,40.0,58.0,35.0,54.0,45.0,41.0,78.0,57.0,57.0,53.0,44.0,,34.0,20.0,48.0,41.0,44.0,48.0,34.0,39.0,60.0,39.0,40.0,27.0,33.0,42.0,48.0,46.0,49.0,52.0,42.0,63.0,42.0,52.0,22.0,39.0,35.0,60.0,54.0,46.0,,36.0,49.0,54.0,60.0,51.0,39.0
64,38.0,40.0,37.0,47.0,46.0,42.0,48.0,45.0,29.0,48.0,47.0,42.0,49.0,48.0,42.0,48.0,33.0,43.0,42.0,70.0,33.0,60.0,28.0,58.0,32.0,47.0,42.0,35.0,43.0,50.0,56.0,46.0,73.0,38.0,50.0,31.0,34.0,36.0,47.0,52.0,43.0,53.0,42.0,39.0,51.0,51.0,33.0,
65,59.0,55.0,49.0,44.0,47.0,36.0,45.0,53.0,49.0,58.0,34.0,44.0,43.0,57.0,38.0,55.0,38.0,,41.0,52.0,53.0,60.0,37.0,40.0,39.0,52.0,29.0,,50.0,36.0,49.0,44.0,32.0,57.0,43.0,46.0,39.0,30.0,52.0,,,56.0,41.0,43.0,57.0,,34.0,57.0
66,61.0,40.0,54.0,42.0,,,46.0,34.0,38.0,51.0,51.0,35.0,32.0,53.0,42.0,51.0,50.0,44.0,36.0,34.0,52.0,51.0,56.0,56.0,40.0,34.0,51.0,33.0,55.0,53.0,59.0,28.0,64.0,45.0,42.0,51.0,38.0,60.0,36.0,,42.0,40.0,43.0,21.0,57.0,55.0,46.0,45.0
67,52.0,,38.0,42.0,76.0,43.0,42.0,,,55.0,43.0,46.0,37.0,46.0,,52.0,,44.0,64.0,,,65.0,39.0,60.0,41.0,52.0,45.0,43.0,37.0,57.0,,37.0,,46.0,49.0,30.0,39.0,53.0,,44.0,35.0,58.0,,,51.0,53.0,45.0,
68,51.0,56.0,53.0,51.0,35.0,51.0,71.0,45.0,47.0,43.0,,29.0,30.0,50.0,,42.0,51.0,21.0,42.0,43.0,44.0,53.0,43.0,,37.0,45.0,39.0,,39.0,47.0,59.0,52.0,81.0,45.0,38.0,41.0,45.0,60.0,52.0,23.0,43.0,49.0,44.0,35.0,56.0,72.0,46.0,47.0
69,51.0,43.0,43.0,39.0,37.0,40.0,49.0,60.0,24.0,,51.0,65.0,85.0,56.0,51.0,59.0,50.0,44.0,56.0,69.0,,19.0,25.0,53.0,59.0,33.0,54.0,40.0,37.0,47.0,45.0,45.0,61.0,38.0,41.0,36.0,41.0,36.0,48.0,48.0,19.0,40.0,40.0,45.0,46.0,68.0,46.0,56.0
70,63.0,47.0,58.0,15.0,39.0,28.0,38.0,29.0,44.0,59.0,,54.0,32.0,34.0,42.0,,40.0,43.0,52.0,41.0,43.0,53.0,38.0,52.0,29.0,32.0,42.0,29.0,31.0,,47.0,31.0,64.0,38.0,44.0,45.0,43.0,50.0,54.0,39.0,56.0,54.0,47.0,43.0,54.0,62.0,50.0,43.0
71,58.0,47.0,47.0,43.0,37.0,41.0,42.0,37.0,45.0,54.0,39.0,,46.0,26.0,39.0,49.0,46.0,39.0,48.0,21.0,49.0,50.0,41.0,46.0,50.0,33.0,49.0,44.0,39.0,49.0,47.0,43.0,60.0,48.0,35.0,45.0,38.0,38.0,38.0,47.0,39.0,44.0,25.0,48.0,44.0,53.0,,30.0
72,59.0,42.0,53.0,20.0,44.0,32.0,46.0,34.0,41.0,51.0,52.0,58.0,38.0,38.0,47.0,45.0,45.0,49.0,50.0,47.0,39.0,56.0,42.0,57.0,45.0,,46.0,41.0,35.0,,52.0,27.0,52.0,34.0,47.0,50.0,43.0,48.0,54.0,44.0,35.0,49.0,47.0,39.0,57.0,84.0,40.0,54.0
73,68.0,50.0,40.0,40.0,31.0,37.0,42.0,55.0,46.0,64.0,25.0,36.0,72.0,36.0,53.0,42.0,44.0,35.0,46.0,43.0,44.0,65.0,45.0,35.0,37.0,38.0,34.0,36.0,32.0,55.0,52.0,49.0,59.0,36.0,53.0,40.0,15.0,44.0,31.0,46.0,54.0,49.0,40.0,54.0,51.0,68.0,53.0,63.0
74,55.0,38.0,49.0,44.0,38.0,33.0,21.0,61.0,42.0,59.0,48.0,43.0,36.0,52.0,27.0,39.0,29.0,47.0,53.0,47.0,38.0,43.0,17.0,57.0,62.0,37.0,34.0,43.0,49.0,34.0,,50.0,42.0,36.0,42.0,48.0,34.0,39.0,50.0,43.0,47.0,42.0,23.0,18.0,43.0,49.0,32.0,38.0
