,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
61,43.0,30.0,50.0,55.0,51.0,46.0,31.0,54.0,41.0,43.0,44.0,37.0,42.0,46.0,,29.0,37.0,32.0,34.0,69.0,31.0,40.0,39.0,57.0,52.0,47.0,40.0,43.0,41.0,48.0,24.0,49.0,48.0,43.0,51.0,40.0,39.0,47.0,44.0,33.0,47.0,58.0,49.0,49.0,59.0,42.0,41.0,51.0
62,39.0,33.0,54.0,40.0,44.0,36.0,35.0,46.0,37.0,30.0,39.0,32.0,42.0,40.0,42.0,47.0,11.0,42.0,25.0,20.0,34.0,38.0,21.0,48.0,42.0,38.0,38.0,36.0,35.0,39.0,42.0,48.0,31.0,51.0,41.0,46.0,23.0,43.0,35.0,40.0,16.0,46.0,31.0,48.0,49.0,54.0,38.0,32.0
63,37.0,62.0,61.0,10.0,52.0,59.0,46.0,37.0,54.0,50.0,34.0,42.0,48.0,51.0,43.0,52.0,15.0,41.0,59.0,30.0,43.0,51.0,43.0,28.0,40.0,49.0,41.0,48.0,41.0,45.0,42.0,45.0,52.0,48.0,44.0,52.0,27.0,50.0,49.0,43.0,42.0,35.0,55.0,59.0,46.0,55.0,49.0,57.0
64,55.0,35.0,47.0,41.0,58.0,44.0,54.0,43.0,45.0,53.0,35.0,42.0,33.0,53.0,32.0,30.0,39.0,40.0,34.0,41.0,31.0,49.0,53.0,38.0,41.0,49.0,35.0,44.0,40.0,42.0,39.0,59.0,27.0,52.0,48.0,41.0,42.0,41.0,37.0,48.0,43.0,53.0,49.0,54.0,36.0,40.0,42.0,47.0
65,,56.0,41.0,36.0,58.0,53.0,59.0,,37.0,,47.0,32.0,50.0,49.0,31.0,45.0,40.0,45.0,20.0,39.0,48.0,44.0,42.0,36.0,58.0,37.0,38.0,39.0,45.0,36.0,45.0,51.0,,41.0,41.0,42.0,41.0,,51.0,45.0,47.0,46.0,57.0,,41.0,41.0,42.0,54.0
66,39.0,46.0,49.0,36.0,44.0,49.0,32.0,52.0,,40.0,31.0,39.0,50.0,51.0,38.0,25.0,37.0,48.0,38.0,41.0,39.0,57.0,44.0,19.0,44.0,35.0,45.0,51.0,,45.0,41.0,35.0,48.0,30.0,37.0,30.0,44.0,36.0,45.0,24.0,31.0,53.0,51.0,45.0,50.0,42.0,35.0,49.0
67,43.0,44.0,,49.0,34.0,35.0,,,51.0,,54.0,44.0,52.0,42.0,,34.0,48.0,,56.0,42.0,,46.0,44.0,36.0,51.0,30.0,43.0,51.0,39.0,40.0,42.0,53.0,52.0,59.0,42.0,44.0,28.0,35.0,,,41.0,,44.0,,20.0,42.0,,
68,31.0,53.0,,61.0,,,37.0,28.0,39.0,,44.0,45.0,18.0,35.0,43.0,44.0,46.0,31.0,40.0,31.0,46.0,17.0,53.0,,26.0,8.0,53.0,47.0,60.0,57.0,49.0,47.0,45.0,,,47.0,32.0,,41.0,26.0,64.0,,44.0,42.0,44.0,15.0,52.0,35.0
69,43.0,39.0,25.0,,53.0,37.0,39.0,69.0,61.0,59.0,44.0,48.0,22.0,55.0,37.0,35.0,22.0,44.0,40.0,46.0,56.0,39.0,44.0,51.0,51.0,47.0,49.0,48.0,36.0,44.0,54.0,57.0,47.0,51.0,36.0,47.0,,44.0,52.0,48.0,63.0,53.0,44.0,65.0,48.0,49.0,49.0,58.0
70,38.0,35.0,55.0,45.0,47.0,45.0,37.0,56.0,35.0,42.0,39.0,41.0,37.0,57.0,43.0,49.0,44.0,33.0,35.0,67.0,41.0,35.0,45.0,56.0,57.0,47.0,39.0,38.0,44.0,44.0,30.0,45.0,44.0,48.0,55.0,35.0,40.0,47.0,39.0,37.0,36.0,62.0,45.0,45.0,54.0,43.0,31.0,53.0
71,41.0,29.0,41.0,43.0,42.0,46.0,36.0,42.0,37.0,47.0,55.0,36.0,41.0,53.0,44.0,41.0,33.0,41.0,32.0,29.0,44.0,36.0,45.0,31.0,43.0,38.0,43.0,40.0,37.0,39.0,50.0,42.0,35.0,47.0,45.0,37.0,45.0,32.0,32.0,41.0,30.0,58.0,40.0,34.0,41.0,44.0,50.0,45.0
